,event,game_id,game_time,home_team,away_team,home_score,away_score
0,2017-USA-Ultimate-College-Championships/schedule/Women/CollegeWomen/,game152287,5/29/2017 2:30 PM,Dartmouth (2),Texas (4),15,9
1,2017-USA-Ultimate-College-Championships/schedule/Women/CollegeWomen/,game152285,5/28/2017 11:30 AM,Dartmouth (2),British Columbia (5),14,8
2,2017-USA-Ultimate-College-Championships/schedule/Women/CollegeWomen/,game152286,5/28/2017 5:30 PM,Texas (4),Colorado (8),14,12
3,2017-USA-Ultimate-College-Championships/schedule/Women/CollegeWomen/,game152281,5/28/2017 8:00 AM,Stanford (1),Dartmouth (2),8,14
4,2017-USA-Ultimate-College-Championships/schedule/Women/CollegeWomen/,game152282,5/28/2017 8:00 AM,British Columbia (5),Virginia (3),15,13
5,2017-USA-Ultimate-College-Championships/schedule/Women/CollegeWomen/,game152283,5/28/2017 8:30 AM,UCLA (6),Texas (4),10,15
6,2017-USA-Ultimate-College-Championships/schedule/Women/CollegeWomen/,game152284,5/28/2017 8:30 AM,Oregon (11),Colorado (8),11,15
7,2017-USA-Ultimate-College-Championships/schedule/Women/CollegeWomen/,game152277,5/27/2017 5:15 PM,Dartmouth (2),Michigan (15),15,7
8,2017-USA-Ultimate-College-Championships/schedule/Women/CollegeWomen/,game152278,5/27/2017 5:15 PM,Virginia (3),Notre Dame (7),15,9
9,2017-USA-Ultimate-College-Championships/schedule/Women/CollegeWomen/,game152279,5/27/2017 5:15 PM,Texas (4),Carleton College (12),14,10
10,2017-USA-Ultimate-College-Championships/schedule/Women/CollegeWomen/,game152280,5/27/2017 5:15 PM,Colorado (8),California (9),15,8
11,2017-USA-Ultimate-College-Championships/schedule/Women/CollegeWomen/,game150595,5/28/2017 8:30 AM,Ohio State (17),Connecticut (20),15,7
12,2017-USA-Ultimate-College-Championships/schedule/Women/CollegeWomen/,game150596,5/27/2017 5:15 PM,Delaware (18),Tufts (10),15,12
13,2017-USA-Ultimate-College-Championships/schedule/Women/CollegeWomen/,game150597,5/27/2017 5:15 PM,North Carolina (16),Pittsburgh (13),15,9
14,2017-USA-Ultimate-College-Championships/schedule/Women/CollegeWomen/,game150598,5/28/2017 8:30 AM,California-San Diego (19),Florida (14),14,9
