,0,1,2,thisteam_score,opponent_score
0,N/A,6 - 15,Massachusetts,6,15
1,N/A,13 - 8,North Carolina-Charlotte,13,8
2,N/A,13 - 9,Richmond,13,9
3,N/A,13 - 15,Georgia,13,15
4,N/A,12 - 7,Harvard,12,7
5,N/A,11 - 6,Notre Dame,11,6
6,February 05,15 - 8,Michigan,15,8
7,Tally Classic XII,,,,
8,March 11,11 - 5,Notre Dame,11,5
9,March 11,8 - 11,Emory,8,11
10,March 11,11 - 1,Georgia Gwinnett,11,1
11,March 11,11 - 7,Kennesaw State,11,7
12,March 11,11 - 8,Union (Tennessee),11,8
13,Easterns 2017,,,,
14,April 01,13 - 7,Virginia,13,7
15,April 01,13 - 15,Pittsburgh,13,15
16,April 01,12 - 11,Tufts,12,11
17,April 01,13 - 14,Wisconsin,13,14
18,April 02,13 - 10,Case Western Reserve,13,10
19,April 02,12 - 9,Virginia Tech,12,9
20,April 02,9 - 15,Oregon,9,15
21,April 02,11 - 9,Georgia,11,9
22,Carolina D-I College Men's CC,,,,
23,April 22,13 - 8,North Carolina-Charlotte,13,8
24,April 22,12 - 9,Clemson,12,9
25,April 22,11 - 9,South Carolina,11,9
26,April 22,13 - 2,Charleston,13,2
27,April 23,,Wake Forest,,
28,Atlantic Coast D-I College Men's Regionals,,,,
29,May 06,13 - 5,Virginia Commonwealth,13,5
30,May 06,13 - 5,South Carolina,13,5
31,May 06,11 - 13,James Madison,11,13
32,May 06,15 - 6,Clemson,15,6
33,May 07,13 - 15,North Carolina,13,15
34,D-I College Championships,,,,
35,May 26,15 - 8,Texas A&M,15,8
36,May 26,15 - 12,Connecticut,15,12
37,May 27,15 - 13,Pittsburgh,15,13
38,May 27,15 - 7,Michigan,15,7
